"Utiliteitsbouw dienstensector","Oppervlakteklasse","Gemiddeld aardgasverbruik (m3/m2)","Gemiddeld elektriciteitsverbruik (kWh/m2)"
"Kantoor: overig","10 000 tot 25 000 m²","10,9","90,9"
"Onderwijs: primair","0 tot 250 m²","16,6","38,6"
"Onderwijs: primair","250 tot 500 m²","18,7","34,4"
"Onderwijs: primair","500 tot 1 000 m²","15,1","29,8"
"Onderwijs: primair","1 000 tot 2 500 m²","12,0","27,6"
"Onderwijs: primair","2 500 tot 5 000 m²","7,9","25,5"
"Onderwijs: primair","5 000 tot 10 000 m²","4,7","21,0"
"Onderwijs: primair","10 000 tot 25 000 m²",".","."
"Onderwijs: secundair","0 tot 250 m²",".","."
"Onderwijs: secundair","250 tot 500 m²",".","36,3"
"Onderwijs: secundair","500 tot 1 000 m²","18,2","40,6"
"Onderwijs: secundair","1 000 tot 2 500 m²","14,8","40,0"
"Onderwijs: secundair","2 500 tot 5 000 m²","11,8","43,4"
"Onderwijs: secundair","5 000 tot 10 000 m²","10,1","41,7"
"Onderwijs: secundair","10 000 tot 25 000 m²","7,5","33,4"
"Onderwijs: MBO en praktijk","0 tot 250 m²",".","."
"Onderwijs: MBO en praktijk","250 tot 500 m²",".","."
"Onderwijs: MBO en praktijk","500 tot 1 000 m²","15,4","48,9"
"Onderwijs: MBO en praktijk","1 000 tot 2 500 m²","14,0","49,3"
"Onderwijs: MBO en praktijk","2 500 tot 5 000 m²","12,3","48,2"
"Onderwijs: MBO en praktijk","5 000 tot 10 000 m²","10,5","49,4"
"Onderwijs: MBO en praktijk","10 000 tot 25 000 m²","8,9","54,2"
"Gezondheidszorg: bijeenkomst","0 tot 250 m²","17,6","43,9"
"Gezondheidszorg: bijeenkomst","250 tot 500 m²","15,8","40,6"
"Gezondheidszorg: bijeenkomst","500 tot 1 000 m²","14,3","40,8"
"Gezondheidszorg: bijeenkomst","1 000 tot 2 500 m²","12,2","37,7"
"Gezondheidszorg: bijeenkomst","2 500 tot 5 000 m²","9,2","31,4"
"Gezondheidszorg: bijeenkomst","5 000 tot 10 000 m²",".","."
"Gezondheidszorg: bijeenkomst","10 000 tot 25 000 m²",".","."
"Gezondheidszorg: praktijk","0 tot 250 m²","17,4","59,8"
"Gezondheidszorg: praktijk","250 tot 500 m²","14,8","51,9"
"Gezondheidszorg: praktijk","500 tot 1 000 m²","13,0","53,5"
"Gezondheidszorg: praktijk","1 000 tot 2 500 m²","12,4","58,4"
"Gezondheidszorg: praktijk","2 500 tot 5 000 m²","12,0","71,5"
"Gezondheidszorg: praktijk","5 000 tot 10 000 m²",".","."
"Gezondheidszorg: praktijk","10 000 tot 25 000 m²",".","."
"Gezondheidszorg: tehuis","0 tot 250 m²","18,5","49,6"
"Gezondheidszorg: tehuis","250 tot 500 m²","19,2","57,1"
"Gezondheidszorg: tehuis","500 tot 1 000 m²","17,3","54,8"
"Gezondheidszorg: tehuis","1 000 tot 2 500 m²","15,9","57,4"
"Gezondheidszorg: tehuis","2 500 tot 5 000 m²","18,1","66,0"
"Gezondheidszorg: tehuis","5 000 tot 10 000 m²","19,6","66,5"
"Gezondheidszorg: tehuis","10 000 tot 25 000 m²","17,3","56,4"
"Recreatie: vereniging","0 tot 250 m²","17,9","48,5"
"Recreatie: vereniging","250 tot 500 m²","14,4","36,5"
"Recreatie: vereniging","500 tot 1 000 m²","11,2","30,5"
"Recreatie: vereniging","1 000 tot 2 500 m²","9,1","30,3"
"Recreatie: vereniging","2 500 tot 5 000 m²",".","."
"Recreatie: vereniging","5 000 tot 10 000 m²",".","."
"Recreatie: vereniging","10 000 tot 25 000 m²",".","."
"Recreatie: binnensport","0 tot 250 m²","17,4","54,9"
"Recreatie: binnensport","250 tot 500 m²","16,7","42,6"
"Recreatie: binnensport","500 tot 1 000 m²","13,2","52,6"
"Recreatie: binnensport","1 000 tot 2 500 m²","11,4","59,0"
"Recreatie: binnensport","2 500 tot 5 000 m²","9,6","55,1"
"Recreatie: binnensport","5 000 tot 10 000 m²","10,5","58,2"
"Recreatie: binnensport","10 000 tot 25 000 m²",".","."
"Recreatie: zwembad","0 tot 250 m²","62,3","173,7"
"Recreatie: zwembad","250 tot 500 m²","48,7","141,4"
"Recreatie: zwembad","500 tot 1 000 m²","48,6","138,9"
"Recreatie: zwembad","1 000 tot 2 500 m²","52,1","153,5"
"Recreatie: zwembad","2 500 tot 5 000 m²","55,6","132,2"
"Recreatie: zwembad","5 000 tot 10 000 m²",".","."
"Recreatie: zwembad","10 000 tot 25 000 m²",".","."
"Recreatie: buitensport","0 tot 250 m²","16,8","87,4"
"Recreatie: buitensport","250 tot 500 m²","15,9","79,8"
"Recreatie: buitensport","500 tot 1 000 m²","14,0","65,0"
"Recreatie: buitensport","1 000 tot 2 500 m²","9,7","51,4"
"Recreatie: buitensport","2 500 tot 5 000 m²","5,3","31,4"
"Recreatie: buitensport","5 000 tot 10 000 m²",".","."
"Recreatie: buitensport","10 000 tot 25 000 m²",".","."
"Overig: haar- en schoonheidsverzorging","0 tot 250 m²","20,2","79,0"
"Overig: haar- en schoonheidsverzorging","250 tot 500 m²","13,8","49,9"
"Overig: haar- en schoonheidsverzorging","500 tot 1 000 m²","11,3","41,4"
"Overig: haar- en schoonheidsverzorging","1 000 tot 2 500 m²",".","."
"Overig: haar- en schoonheidsverzorging","2 500 tot 5 000 m²",".","."
"Overig: haar- en schoonheidsverzorging","5 000 tot 10 000 m²",".","."
"Overig: haar- en schoonheidsverzorging","10 000 tot 25 000 m²",".","."
"Overig: religie","0 tot 250 m²","18,4","25,4"
"Overig: religie","250 tot 500 m²","15,7","19,8"
"Overig: religie","500 tot 1 000 m²","13,6","18,0"
"Overig: religie","1 000 tot 2 500 m²","10,1","17,2"
"Overig: religie","2 500 tot 5 000 m²","6,1","19,3"
"Overig: religie","5 000 tot 10 000 m²",".","."
"Overig: religie","10 000 tot 25 000 m²",".","."
"Bron: CBS."
